台灣頻道,#genre#
MagellanTV (麥哲倫頻道),https://tv.iill.top/4gtv/4gtv-live123&token=key
CNBC Asia 財經,https://tv.iill.top/4gtv/4gtv-live130&token=key
Rock Action,https://tv.iill.top/4gtv/4gtv-live138&token=key
金光布袋戲,https://tv.iill.top/4gtv/4gtv-live144&token=key
霹靂布袋戲,https://tv.iill.top/4gtv/4gtv-live145&token=key
FRANCE24,https://tv.iill.top/4gtv/4gtv-live146&token=key
半島國際新聞,https://tv.iill.top/4gtv/4gtv-live157&token=key
NHK 新聞資訊,https://tv.iill.top/4gtv/4gtv-live168&token=key
車迷 TV,https://tv.iill.top/4gtv/4gtv-live201&token=key
幸福空間居家,https://tv.iill.top/4gtv/4gtv-live206&token=key
三立綜合,https://tv.iill.top/4gtv/4gtv-live207&token=key
Love Nature,https://tv.iill.top/4gtv/4gtv-live208&token=key
HITS 頻道,https://tv.iill.top/4gtv/4gtv-live620&token=key
新聞,#genre#
三立新聞iNEWS,https://tv.iill.top/4gtv/4gtv-live089&token=key
半島國際新聞,https://tv.iill.top/4gtv/4gtv-live157&token=key
NHK 新聞資訊,https://tv.iill.top/4gtv/4gtv-live168&token=key
中天新聞,https://tv.iill.top/litv/4gtv-4gtv009&token=key
非凡新聞,https://tv.iill.top/litv/4gtv-4gtv010&token=key
台視新聞,https://tv.iill.top/litv/4gtv-4gtv051&token=key
華視新聞,https://tv.iill.top/litv/4gtv-4gtv052&token=key
TVBS 新聞,https://tv.iill.top/litv/4gtv-4gtv072&token=key
中視新聞,https://tv.iill.top/litv/4gtv-4gtv074&token=key
鏡電視新聞,https://tv.iill.top/litv/4gtv-4gtv075&token=key
東森新聞,https://tv.iill.top/litv/4gtv-4gtv152&token=key
寰宇新聞台灣,https://tv.iill.top/litv/4gtv-4gtv156&token=key
民視新聞,https://tv.iill.top/litv/litv-ftv13&token=key
寰宇新聞,https://tv.iill.top/litv/litv-longturn14&token=key
運動,#genre#
智林體育,https://tv.iill.top/litv/4gtv-4gtv101&token=key
博斯魅力,https://tv.iill.top/litv/litv-longturn04&token=key
博斯高球 一,https://tv.iill.top/litv/litv-longturn05&token=key
博斯高球 二,https://tv.iill.top/litv/litv-longturn06&token=key
博斯運動 一,https://tv.iill.top/litv/litv-longturn07&token=key
博斯運動 二,https://tv.iill.top/litv/litv-longturn08&token=key
博斯網球,https://tv.iill.top/litv/litv-longturn09&token=key
博斯無限 一,https://tv.iill.top/litv/litv-longturn10&token=key
博斯無限 二,https://tv.iill.top/litv/litv-longturn13&token=key
民視,#genre#
民視台灣,https://tv.iill.top/litv/4gtv-4gtv001&token=key
民視,https://tv.iill.top/litv/4gtv-4gtv002&token=key
民視第一,https://tv.iill.top/litv/4gtv-4gtv003&token=key
民視綜藝,https://tv.iill.top/litv/4gtv-4gtv004&token=key
民視旅遊,https://tv.iill.top/litv/litv-ftv07&token=key
民視影劇,https://tv.iill.top/litv/litv-ftv09&token=key
民視新聞,https://tv.iill.top/litv/litv-ftv13&token=key
